market,symbol,korean_name,english_name,sector,price_krw,change_24h_pct,trade_value_24h_krw,rsi14,obv20_norm,obv_divergence,adx14,plus_di,minus_di,ma20,ma60,ma120,trend,market_warning,candle_days
KRW-CRO,CRO,크로노스,Cronos,결제/거래소/금융,66.3,-1.6320474799999998,441174635.3230277,17.27247893200493,-0.7894435200306928,없음,25.541702791826452,12.575002362977907,36.69211279814778,77.485,83.55666666666666,92.635,강한 하락,NONE,200
KRW-HOLO,HOLO,홀로월드에이아이,Holoworld AI,기타/신규·세부검토,96.4,2.66240682,439635529.2288601,48.29019117279596,0.40269866803616744,없음,29.788300527017732,25.51811268548997,12.04662939575785,97.72,100.42333333333333,100.67333333333333,강한 추세·혼조,NONE,200
KRW-ATH,ATH,에이셔,Aethir,인프라/오라클/데이터,5.77,2.85204991,437155794.48846245,43.273680521535624,-0.1847868051781354,없음,14.012220015042761,18.217352985745332,17.685205413053563,5.892,6.4479999999999995,7.626416666666667,약한 하락,NONE,200
KRW-CHZ,CHZ,칠리즈,Chiliz,게임/메타버스/NFT,18.6,1.08695652,436099541.7950594,32.71043908405258,-0.2804377606550907,없음,52.56240437260741,15.465320006781377,24.922884566991698,19.165,25.391666666666666,42.391666666666666,강한 하락,NONE,200
KRW-UP2,UP2,슈퍼폼,Superform,기타/신규·세부검토,81.9,-0.3649635,433518631.0203569,37.96445389325402,0.40600482422496864,강세 다이버전스,22.635980929359516,16.2093116444217,14.846234546649722,89.56,92.61166666666666,,약한 하락,NONE,90
KRW-SONIC,SONIC,소닉SVM,Sonic SVM,기타/신규·세부검토,27.0,-0.73529412,428976233.5236668,34.15788748563203,-0.45356952748721757,없음,40.512998762993796,14.064563059811949,26.224784503444972,28.345,34.54333333333333,44.42916666666667,강한 하락,NONE,200
KRW-VANA,VANA,바나,Vana,기타/신규·세부검토,1260.0,3.53327855,425615138.2707282,33.57180525472276,-0.10425181150410079,없음,24.945560011296244,20.421138570762594,22.727354578224134,1443.1,1633.2833333333333,1874.9166666666667,약한 하락,NONE,200
KRW-PYTH,PYTH,피스네트워크,Pyth Network,인프라/오라클/데이터,60.3,2.37691002,417671341.47902673,50.794729515339235,-0.10914242702156762,없음,20.099999002280907,21.8610144662765,17.900640178196706,59.44500000000001,60.61833333333333,63.42333333333333,중립/횡보,NONE,200
KRW-XAUT,XAUT,테더골드,Tether Gold,기타/신규·세부검토,6095000.0,0.32921811,402091577.72478,59.62226243093656,0.1628787847195811,없음,33.31649085188768,22.645249704177242,21.04655939960688,5926300.0,6078350.0,6434891.666666667,강한 상승,NONE,200
KRW-BIGTIME,BIGTIME,빅타임,Big Time,게임/메타버스/NFT,7.65,-1.9230769200000002,396595056.14654434,28.6351287333744,-0.548735225007692,없음,43.65076772550476,11.45930718579457,24.05566380363106,8.363,10.450166666666666,14.480916666666667,강한 하락,NONE,200
